
sub_006,  983, Reverse                  
sub_006,  984, nan                  
sub_006,  985, Reverse                  
sub_006,  986                  
sub_006,  987, Reverse, Reverse                  
sub_006,  988, Reverse, Reverse                  
sub_006,  989, Reverse, Reverse                  
sub_006,  990, Reverse, Reverse                  
sub_006,  992, Reverse                  
sub_006,  993, Reverse                  
sub_006,  994                  
sub_006,  995, nan, nan, nan, nan, nan, nan, nan, nan                  
sub_006,  996, Reverse                  
sub_006,  999                  
sub_006, 1000, Reverse, Reverse                  
sub_006, 1001                  
sub_006, 1002                  
sub_006, 1004                  
sub_006, 1005, Reverse, Reverse                  
sub_006, 1006                  
sub_006, 1007, Reverse, Reverse, Reverse, Reverse                  
sub_006, 1008, nan                  
sub_006, 1009, Reverse                  
sub_006, 1010, Reverse                  
sub_006, 1012, nan                  
sub_006, 1013, Reverse, Reverse, Reverse                  
sub_006, 1014, nan, nan, nan                  
sub_006, 1018, Drive                  
sub_006, 1019, nan                  
sub_006, 1020, Reverse                  
sub_006, 1021, Drive                  
sub_006, 1022                  
sub_007,  812                  
sub_007,  813                  
sub_007,  814                  
sub_007,  817, Drive                  
sub_007,  819, Reverse                  
sub_007,  820, Reverse                  
sub_007,  828, Reverse                  
sub_007,  841, Reverse                  
sub_007,  848, Reverse                  
sub_007,  850, Drive                  
sub_007,  851, Drive                  
sub_007,  865, Reverse                  
sub_007,  872, Drive                  
sub_007,  873, Reverse                  
sub_007,  874, Reverse                  
sub_007,  882                  
sub_007,  883, Reverse                  
sub_007,  885, Reverse                  
sub_007,  889, Drive                  
sub_007,  890, Reverse                  
sub_007,  891, Reverse                  
sub_007,  892, Reverse                  
sub_007,  902, Reverse                  
sub_007,  903, Reverse                  
sub_007,  912, Reverse                  
sub_007,  914, Reverse                  
sub_007,  915, Reverse                  
sub_007,  916, Drive                  
sub_007,  920, Drive                  
sub_007,  921, Reverse                  
sub_007,  922, Reverse                  
sub_007, 1024, Reverse                  
sub_007, 1025, Reverse                  
sub_007, 1030, Reverse                  
sub_007, 1031, Reverse                  
sub_007, 1032, Reverse                  
sub_007, 1046, nan                  
sub_007, 1047, Reverse                  
sub_007, 1048, Reverse                  
sub_007, 1050, Reverse                  
sub_007, 1051, Reverse                  
sub_007, 1052, Drive                  
sub_007, 1053, Reverse                  
sub_007, 1055, Reverse                  
sub_007, 1056, Drive                  
sub_007, 1057, Reverse                  
sub_007, 1058, Reverse                  
sub_007, 1059                  
sub_007, 1061                  
sub_007, 1062, Reverse                  
sub_007, 1075, Reverse                  
sub_007, 1076, Reverse                  
sub_007, 1077, Reverse                  
sub_007, 1082, Drive                  
sub_007, 1084, Reverse                  
sub_007, 1085, Reverse                  
sub_007, 1086, Reverse                  
sub_007, 1087, Reverse                  
sub_007, 1098, Reverse                  
sub_007, 1099, Reverse                  
sub_007, 1114, Reverse                  
sub_007, 1115, Reverse                  
sub_007, 1116, Drive                  
sub_007, 1122, Reverse                  
sub_007, 1123, Reverse                  
sub_007, 1124, Reverse                  
sub_007, 1147, Drive                  
sub_007, 1148, Drive                  
sub_007, 1149                  
sub_007, 1153, Reverse                  
sub_007, 1159, Reverse                  
sub_007, 1160, Reverse                  
sub_007, 1166, Reverse                  
sub_007, 1190, Reverse                  
sub_007, 1191, Drive                  
sub_007, 1195, Reverse                  
sub_007, 1198, Reverse                  
sub_007, 1199, Reverse                  
sub_007, 1214, Reverse                  
sub_007, 1219, Reverse                  
sub_007, 1221, Reverse                  
sub_007, 1222, Drive                  
